id;dealer_name;tax_number;identification_document_number;organization_name;department;position;postal_address;physical_address;account_name;account_number;bankers_name;bankers_branch;bankers_swift_code;file_upload_token;compilation_token;remarks;other_names
1;than terrorise;yearly likewise;mysteriously;yum astride;yowza except woefully;instead wring;round mmm decongestant;scratch continually;Home Loan Account;um;sweatshop once;purse;electrify honestly;memorise;replicate apropos;../fake-data/blob/hipster.txt;doting fondly barring
2;juggernaut;lone;tremendously lovable;fooey;irritably gah;than charm phooey;exactly consequently phew;smoothly er integer;Savings Account;furthermore;wherever bide boo;midst archaeology;honestly;including pleased mmm;yahoo;../fake-data/blob/hipster.txt;nougat phew honorable
3;ravioli tasty;yearly charter;redact likewise;dimly courageously giving;optimistically;brr ick;archaeology;even splurge;Money Market Account;uh-huh;magnificent wherever;finally meanwhile;concerned bah winding;yuck outrank owlishly;version fortunately since;../fake-data/blob/hipster.txt;decriminalize verbally
4;sternly whoever where;oh consequently jaunty;ferociously tromp inasmuch;appropriate biodegradable;giggle nun;who phew;sushi whoever once;er tuba duh;Money Market Account;like place;superior advocate;by aw;behind;definite;among unto per;../fake-data/blob/hipster.txt;pro independence apud
5;failing;uh-huh but;incidentally ultimately yowza;quizzically hasty convalesce;stack whoa before;verbally;why acidic fidget;for;Personal Loan Account;keenly within;ew fidget;starboard bookcase;wire lasting quarterly;bell though;etch silt;../fake-data/blob/hipster.txt;vanish
6;before athwart insidious;white;versus pace;paralyse boo whenever;miserably towards crushing;apropos if;huzzah decide correctly;freely focalise;Checking Account;goose;blah;granular;whether whose likewise;spectate wound hmph;but even perfumed;../fake-data/blob/hipster.txt;ghost how
7;whoever vainly;phew jubilantly fuel;advocate but;pfft onto pressure;similar but er;zowie;sternly;grubby casement;Auto Loan Account;oh reluctantly caption;delightfully yet;metal mobilize;qua wherever;elver though coordination;knottily notwithstanding;../fake-data/blob/hipster.txt;till dwell
8;while hm sometimes;ick eyeglasses object;ouch lest;helpfully react;hm;char;plan failing brood;how concerning cantaloupe;Investment Account;weakly;depot notwithstanding;furthermore;wherever hence;woot sequester;fake;../fake-data/blob/hipster.txt;deploy of
9;needily;at mobility;where yuck;optimal provided;whoa;until yuck;husband;kindly;Personal Loan Account;menacing;likewise capitalize;creator;eek rarely;until incomparable;shyly kiddingly;../fake-data/blob/hipster.txt;now since
10;derby past gah;longingly;hidden;boastfully;rosy behind;wedding;stoop;likely hm on;Savings Account;bah worriedly terribly;utterly about;as whose chime;ameliorate;humidity celsius;terraform;../fake-data/blob/hipster.txt;owlishly
